AcceptedErrorRateBudget,AcceptedErrorPercentBudget,StrategyID,Strategy,HighestAcceptedCountWithinBudget,HighestCoverageWithinBudget,HighestCoveragePercentWithinBudget,ObservedAcceptedErrors,ObservedAcceptedErrorRate,FalseNegativesAmongAccepted,HighestCoverageWinner,HighestCoverageStrategies
0.021052631578947368,2.1052631578947367,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021276595744680851,2.1276595744680851,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021276595744680851,2.1276595744680851,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021276595744680851,2.1276595744680851,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021276595744680851,2.1276595744680851,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021505376344086023,2.1505376344086025,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021505376344086023,2.1505376344086025,confidence_model_agreement,Confidence + model agreement,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021505376344086023,2.1505376344086025,confidence_view_sd,Confidence + view SD,89,0.7416666666666667,74.166666666666671,1,0.011235955056179775,1,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021505376344086023,2.1505376344086025,full_reliability,Confidence + agreement + view SD + feature typicality,96,0.80000000000000004,80,2,0.020833333333333332,1,True,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
0.021739130434782608,2.1739130434782608,confidence_only,Confidence only,70,0.58333333333333337,58.333333333333336,1,0.014285714285714285,0,False,Confidence + model agreement; Confidence + agreement + view SD + feature typicality
